key,val,randnu
60612,lio,5623312
91083,ban,57298973
22727,dog,54980699
92965,pea,38497574
54839,lio,74880298
39579,mic,38820599
29969,lio,59688722
53454,pea,16493363
88956,dog,68178097
23167,app,54268150
97270,pea,6162720
55062,lio,36385270
2207,mic,61009851
88164,ban,1826066
26435,app,27609524
70704,lio,47877496
31282,bal,75991208
67306,bal,21331503
79924,cat,31307834
21138,cat,53072074
28248,dog,31148833
8500,app,33248533
62033,dog,31399485
64319,lio,76076844
44668,dog,52120978
86967,mic,56602313
10377,pea,73500880
5759,hor,7950302
98448,pea,12738898
23449,pea,47507572
47942,hor,65108734
34317,hor,25114471
73356,dog,39308371
4577,pea,10468502
18516,cat,50864784
77949,dog,76029326
13121,bal,49857316
11984,app,77181486
89476,hor,3430980
14419,hor,11564913
32463,dog,67223963
48139,dog,25162440
33843,lio,21935740
23831,cat,69831310
85403,lio,8773292
24847,dog,25423824
12005,app,42185559
18089,app,13852263
42761,dog,48492143
90987,dog,31867036
96042,lio,47550930
94245,bal,74777946
97525,app,31782994
81883,app,63897878
63747,bal,30843235
51755,mic,60456488
31396,dog,20646027
71583,lio,48937081
20628,pea,55690381
85371,pea,66445355
49656,cat,25442942
85109,dog,35487896
25731,mic,51078823
41342,dog,70641859
4102,pea,304270
97747,app,38940555
13973,dog,33320624
19642,hor,71113407
24917,mic,77810311
77002,lio,61911657
80799,cat,77260595
24754,bal,52242549
15085,cat,44900493
95943,hor,32967720
39999,hor,20581037
85397,pea,12061383
81940,lio,52425232
45514,cat,8173287
44753,cat,58693232
22130,app,71777627
25191,ban,65202886
7885,bal,18144947
48229,hor,66157094
86075,pea,13659979
84602,ban,38721985
50591,pea,56486622
29979,pea,20539199
52551,lio,13853691
2761,lio,51204653
47417,hor,72191707
59962,lio,58299336
99180,bal,16370631
81384,lio,25392694
45602,dog,37312537
62854,app,2762174
36643,hor,30029623
32754,ban,18338058
44940,mic,73189461
15037,mic,65231568
92698,cat,68937853
65597,dog,69045659
79925,hor,44653023
54777,app,44775672
91893,mic,3484356
49525,cat,55638791
44600,bal,74302944
22261,dog,10600088
60762,hor,57679190
3783,cat,55465969
89355,cat,56850010
28568,dog,2661115
16034,mic,22135115
53551,cat,8709504
85627,mic,71218355
26072,ban,28673937
96937,mic,21643840
9975,lio,59214712
54315,bal,1335127
88225,ban,22786904
32118,bal,72465736
19241,lio,4168593
69780,lio,64303508
40329,pea,22537757
16077,mic,42843769
69629,pea,26159926
94684,dog,74117117
92515,app,58001655
64374,lio,26606883
56127,bal,14658961
61274,app,4536463
5468,bal,25317152
80351,bal,43462268
56249,ban,50616636
69992,lio,23578196
41044,dog,70913281
98566,app,10910610
49430,bal,15164835
7647,cat,26827959
12339,lio,61051010
57812,hor,26006487
73192,hor,30769398
4498,app,48948637
19639,app,11365483
68677,hor,46555781
35623,mic,25946124
27493,mic,60358164
7618,pea,63932709
33199,cat,67474172
54303,mic,19105418
78869,lio,41348385
42033,pea,34552846
17893,dog,39021685
36093,ban,57820466
11395,app,37177947
63503,bal,50168693
65933,ban,15586027
9081,pea,1088987
5228,ban,66432937
3479,hor,41378976
9141,bal,46243083
34069,app,50104497
37475,hor,74375620
21246,lio,37052328
66437,mic,31893038
25916,bal,55549694
33092,pea,64709441
22718,bal,35773224
45301,mic,38522323
40176,dog,31866694
19591,dog,1695514
89063,hor,2079512
52161,lio,44606473
70187,dog,24871353
34715,lio,42794004
29227,bal,43595453
36744,lio,2783623
